Variables = eta, u, F, f2, fp, fpp
  0.0000000000   0.0000000000   0.0000000000   0.0000000000   0.0000000000   0.3321077879
  0.1000000000   0.0332107788   0.0000830269   0.0016605389   0.0332107788   0.3320940013
  0.2000000000   0.0664174220   0.0004981513   0.0066419490   0.0664174220   0.3320250783
  0.3000000000   0.0996116627   0.0015774190   0.0149434032   0.0996116627   0.3318459546
  0.4000000000   0.1327797383   0.0036527378   0.0265629733   0.1327797383   0.3315017902
  0.5000000000   0.1659024263   0.0070557405   0.0414970815   0.1659024263   0.3309382190
  0.6000000000   0.1989551082   0.0121175925   0.0597399582   0.1989551082   0.3301016979
  0.7000000000   0.2319078745   0.0191687458   0.0812831074   0.2319078745   0.3289399482
  0.8000000000   0.2647256774   0.0285386404   0.1061147849   0.2647256774   0.3274024861
  0.9000000000   0.2973685409   0.0405553544   0.1342194959   0.2973685409   0.3254412330
  1.0000000000   0.3297918352   0.0555452050   0.1655775147   0.3297918352   0.3230111931
  1.1000000000   0.3619466215   0.0738323026   0.2001644375   0.3619466215   0.3200711860
  1.2000000000   0.3937800723   0.0957380631   0.2379507722   0.3937800723   0.3165846135
  1.3000000000   0.4252359679   0.1215806804   0.2789015742   0.4252359679   0.3125202411
  1.4000000000   0.4562552723   0.1516745659   0.3229761362   0.4562552723   0.3078529690
  1.5000000000   0.4867767826   0.1863297596   0.3701277389   0.4867767826   0.3025645669
  1.6000000000   0.5167378499   0.2258513201   0.4203034706   0.5167378499   0.2966443417
  1.7000000000   0.5460751615   0.2705386997   0.4734441211   0.5460751615   0.2900897126
  1.8000000000   0.5747255749   0.3206851137   0.5294841580   0.5747255749   0.2829066605
  1.9000000000   0.6026269885   0.3765769109   0.5883517861   0.6026269885   0.2751100290
  2.0000000000   0.6297192347   0.4384929550   0.6499690973   0.6297192347   0.2667236493
  2.1000000000   0.6559449752   0.5067040253   0.7142523078   0.6559449752   0.2577802727
  2.2000000000   0.6812505789   0.5814722450   0.7811120855   0.6812505789   0.2483212960
  2.3000000000   0.7055869625   0.6630505474   0.8504539625   0.7055869625   0.2383962738
  2.4000000000   0.7289103713   0.7516821869   0.9221788292   0.7289103713   0.2280622197
  2.5000000000   0.7511830799   0.8476003035   0.9961835018   0.7511830799   0.2173827070
  2.6000000000   0.7723739944   0.9510275464   1.0723613555   0.7723739944   0.2064267867
  2.7000000000   0.7924591382   1.0621757647   1.1506030121   0.7924591382   0.1952677505
  2.8000000000   0.8114220080   1.1812457688   1.2307970694   0.8114220080   0.1839817732
  2.9000000000   0.8292537904   1.3084271653   1.3128308594   0.8292537904   0.1726464732
  3.0000000000   0.8459534325   1.4438982693   1.3965912205   0.8459534325   0.1613394360
  3.1000000000   0.8615275650   1.5878260938   1.4819652704   0.8615275650   0.1501367479
  3.2000000000   0.8759902817   1.7403664154   1.5688411627   0.8759902817   0.1391115836
  3.3000000000   0.8893627832   1.9016639144   1.6571088160   0.8893627832   0.1283328939
  3.4000000000   0.9016728950   2.0718523852   1.7466605999   0.9016728950   0.1178642320
  3.5000000000   0.9129544784   2.2510550136   1.8373919685   0.9129544784   0.1077627522
  3.6000000000   0.9232467499   2.4393847135   1.9292020299   0.9232467499   0.0980784062
  3.7000000000   0.9325935320   2.6369445172   2.0219940440   0.9325935320   0.0888533555
  3.8000000000   0.9410424555   2.8438280116   2.1156758434   0.9410424555   0.0801216074
  3.9000000000   0.9486441373   3.0601198124   2.2101601731   0.9486441373   0.0719088736
  4.0000000000   0.9554513545   3.2858960684   2.3053649476   0.9554513545   0.0642326433
  4.1000000000   0.9615182352   3.5212249872   2.4012134271   0.9615182352   0.0571024536
  4.2000000000   0.9668994863   3.7661673742   2.4976343132   0.9668994863   0.0505203331
  4.3000000000   0.9716496712   4.0207771784   2.5945617711   0.9716496712   0.0444813940
  4.4000000000   0.9758225544   4.2851020361   2.6919353824   0.9758225544   0.0389745380
  4.5000000000   0.9794705194   4.5591838070   2.7897000361   0.9794705194   0.0339832472
  4.6000000000   0.9826440690   4.8430590971   2.8878057655   0.9826440690   0.0294864262
  4.7000000000   0.9853914105   5.1367597623   2.9862075395   0.9853914105   0.0254592643
  4.8000000000   0.9877581274   5.4403133901   3.0848650164   0.9877581274   0.0218740911
  4.9000000000   0.9897869341   5.7537437544   3.1837422694   0.9897869341   0.0187012002
  5.0000000000   0.9915175110   6.0770712425   3.2828074917   0.9915175110   0.0159096200
  5.1000000000   0.9929864134   6.4103132515   3.3820326879   0.9929864134   0.0134678175
  5.2000000000   0.9942270461   6.7534845539   3.4813933609   0.9942270461   0.0113443214
  5.3000000000   0.9952696967   7.1065976318   3.5808681980   0.9952696967   0.0095082587
  5.4000000000   0.9961416179   7.4696629799   3.6804387637   0.9961416179   0.0079298022
  5.5000000000   0.9968671494   7.8426893782   3.7800892021   0.9968671494   0.0065805274
  5.6000000000   0.9974678725   8.2256841360   3.8798059532   0.9974678725   0.0054336848
  5.7000000000   0.9979627866   8.6186533080   3.9795774862   0.9979627866   0.0044643915
  5.8000000000   0.9983685021   9.0216018848   4.0793940506   0.9983685021   0.0036497499
  5.9000000000   0.9986994416   9.4345339597   4.1792474478   0.9986994416   0.0029689032
  6.0000000000   0.9989680442   9.8574528732   4.2791308221   0.9989680442   0.0024030365
  6.1000000000   0.9991849671  10.2903613379   4.3790384726   0.9991849671   0.0019353320
  6.2000000000   0.9993592818  10.7332615458   4.4789656851   0.9993592818   0.0015508898
  6.3000000000   0.9994986602  11.1861552592   4.5789085822   0.9994986602   0.0012366201
