VARIABLES= "Y","Cl"
0.0785 0.4054
0.2355 0.4203
0.3922 0.4343
0.5486 0.4470
0.7044 0.4583
0.8595 0.4684
1.0138 0.4775
1.1671 0.4857
1.3192 0.4931
1.4700 0.4998
1.6194 0.5060
1.7672 0.5117
1.9132 0.5169
2.0573 0.5217
2.1994 0.5261
2.3394 0.5302
2.4770 0.5340
2.6122 0.5375
2.7448 0.5408
2.8747 0.5437
3.0017 0.5464
3.1258 0.5489
3.2468 0.5510
3.3646 0.5530
3.4791 0.5546
3.5902 0.5559
3.6977 0.5569
3.8016 0.5575
3.9017 0.5577
3.9979 0.5573
4.0902 0.5564
4.1785 0.5547
4.2627 0.5521
4.3426 0.5484
4.4183 0.5433
4.4896 0.5365
4.5565 0.5275
4.6188 0.5158
4.6766 0.5009
4.7298 0.4822
4.7784 0.4591
4.8222 0.4314
4.8612 0.3988
4.8955 0.3614
4.9249 0.3196
4.9495 0.2739
4.9692 0.2248
4.9840 0.1732
4.9938 0.1203
4.9988 0.0699
