VARIABLES= "Y","Cl"
0.0785 0.4816
0.2355 0.4967
0.3922 0.5095
0.5486 0.5197
0.7044 0.5276
0.8595 0.5335
1.0138 0.5376
1.1671 0.5403
1.3192 0.5417
1.4700 0.5421
1.6194 0.5415
1.7672 0.5401
1.9132 0.5381
2.0573 0.5354
2.1994 0.5322
2.3394 0.5286
2.4770 0.5245
2.6122 0.5202
2.7448 0.5155
2.8747 0.5106
3.0017 0.5055
3.1258 0.5002
3.2468 0.4947
3.3646 0.4891
3.4791 0.4833
3.5902 0.4775
3.6977 0.4715
3.8016 0.4654
3.9017 0.4592
3.9979 0.4527
4.0902 0.4461
4.1785 0.4392
4.2627 0.4318
4.3426 0.4240
4.4183 0.4154
4.4896 0.4060
4.5565 0.3953
4.6188 0.3831
4.6766 0.3690
4.7298 0.3526
4.7784 0.3335
4.8222 0.3115
4.8612 0.2866
4.8955 0.2586
4.9249 0.2279
4.9495 0.1947
4.9692 0.1594
4.9840 0.1227
4.9938 0.0851
4.9988 0.0494
